"id","impact","description","help","helpUrl","html","target"
"aria-valid-attr-value","critical","Ensures all ARIA attributes have valid values","ARIA attributes must conform to valid values","https://dequeuniversity.com/rules/axe/4.9/aria-valid-attr-value?application=axeAPI","<button id=""sponsorship-close-trigger-120658"" aria-controls=""sponsorship-close-120658"" class=""crayons-btn crayons-btn--s crayons-btn--ghost crayons-btn--icon"">","#sponsorship-close-trigger-120658"
"image-alt","critical","Ensures <img> elements have alternate text or a role of none or presentation","Images must have alternate text","https://dequeuniversity.com/rules/axe/4.9/image-alt?application=axeAPI","<img src=""https://dev.to/assets/sparkle-heart-5f9bee3767e18deb1bb725290cb151c25234768a0e9a2bd39370c382d02920cf.svg"" width=""24"" height=""24"">",".reaction_engagement_like > img[width=""24""][height=""24""]"
"image-alt","critical","Ensures <img> elements have alternate text or a role of none or presentation","Images must have alternate text","https://dequeuniversity.com/rules/axe/4.9/image-alt?application=axeAPI","<img src=""https://dev.to/assets/multi-unicorn-b44d6f8c23cdd00964192bedc38af3e82463978aa611b4365bd33a0f1f4f3e97.svg"" width=""24"" height=""24"">",".reaction_engagement_unicorn > img[width=""24""][height=""24""]"
"link-in-text-block","serious","Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.9/link-in-text-block?application=axeAPI","<a href=""/auraswap"">Liz Wait</a>",".crayons-subtitle-2 > a[href$=""auraswap""]"
"link-name","serious","Ensures links have discernible text","Links must have discernible text","https://dequeuniversity.com/rules/axe/4.9/link-name?application=axeAPI","<a name=""the-good-part"" href=""#the-good-part"">
  </a>","a[name=""the-good-part""]"
"link-name","serious","Ensures links have discernible text","Links must have discernible text","https://dequeuniversity.com/rules/axe/4.9/link-name?application=axeAPI","<a name=""file-structure-example"" href=""#file-structure-example"">
  </a>","a[name=""file-structure-example""]"
"link-name","serious","Ensures links have discernible text","Links must have discernible text","https://dequeuniversity.com/rules/axe/4.9/link-name?application=axeAPI","<a name=""build-with-the-platform-that-enables-you-to-send-track-and-optimize-emails-effortlessly"" href=""#build-with-the-platform-that-enables-you-to-send-track-and-optimize-emails-effortlessly"">  </a>","div[data-id=""116225""] > .pt-3.text-styles--billboard.p-1 > h2 > a:nth-child(1)"
"link-name","serious","Ensures links have discernible text","Links must have discernible text","https://dequeuniversity.com/rules/axe/4.9/link-name?application=axeAPI","<a name=""get-a-wealth-of-knowledge-from-aws-data-experts"" href=""#get-a-wealth-of-knowledge-from-aws-data-experts"">  </a>","div[data-id=""99845""] > .pt-3.text-styles--billboard.p-1 > h2 > a:nth-child(1)"
"link-name","serious","Ensures links have discernible text","Links must have discernible text","https://dequeuniversity.com/rules/axe/4.9/link-name?application=axeAPI","<a name=""-cta-httpsdevtoenterstatenewuser-"" href=""#-cta-httpsdevtoenterstatenewuser-"">  </a>",".text-styles--billboard.p-1.text-styles > h3 > a:nth-child(1)"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""crayons-bb__title"">👋 Kindness is contagious</div>",".flex > .crayons-bb__header.relative > .crayons-bb__title"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<p>Delve deeply into knowledge with this enlightening piece, fostered within the supportive environment of the DEV Community—<strong>every coder,</strong> no matter their experience level, is welcome to contribute to our collective wisdom.</p>",".popover-billboard > .text-styles--billboard.p-1.text-styles > p:nth-child(1)"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<p>A simple ""thank you"" can make a big difference—express your gratitude in the comments!</p>",".popover-billboard > .text-styles--billboard.p-1.text-styles > p:nth-child(2)"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<p><strong>Sharing information enhances our journey</strong> on DEV and fortifies our community connection. Did you find this useful? A moment to thank the author can make a significant impact.</p>",".popover-billboard > .text-styles--billboard.p-1.text-styles > p:nth-child(3)"
"scrollable-region-focusable","serious","Ensure elements that have scrollable content are accessible by keyboard","Scrollable region must have keyboard access","https://dequeuniversity.com/rules/axe/4.9/scrollable-region-focusable?application=axeAPI","<pre class=""highlight plaintext"">","pre"
