"id","impact","description","help","helpUrl","html","target"
"heading-order","moderate","Ensures the order of headings is semantically correct","Heading levels should only increase by one","https://dequeuniversity.com/rules/axe/4.9/heading-order?application=axeAPI","<div class=""navFooterColHead"" role=""heading"" aria-level=""6"">Get to Know Us</div>",".navFooterLinkCol.navAccessibility:nth-child(1) > .navFooterColHead[role=""heading""][aria-level=""6""]"
"image-alt","critical","Ensures <img> elements have alternate text or a role of none or presentation","Images must have alternate text","https://dequeuniversity.com/rules/axe/4.9/image-alt?application=axeAPI","<img class=""vsar-lens-icon"" id=""vsar-lens-icon-img"" src=""https://m.media-amazon.com/images/G/01/style-snap/MLT_Icon_x2.png"">","#vsar-lens-icon-img"
"image-redundant-alt","minor","Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.9/image-redundant-alt?application=axeAPI","<img alt=""Headsets"" src=""https://images-na.ssl-images-amazon.com/images/G/01/AmazonExports/Fuji/2021/June/Fuji_Quad_Headset_1x._SY116_CB667159060_.jpg"" class=""_fluid-quad-image-label-v2_style_fluidLandscapeImage__2euAK _fluid-quad-image-label-v2_style_fluidImage__gTBjA"" data-a-hires=""https://images-na.ssl-images-amazon.com/images/G/01/AmazonExports/Fuji/2021/June/Fuji_Quad_Headset_2x._SY232_CB667159060_.jpg"">","img[alt=""Headsets""]"
"image-redundant-alt","minor","Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.9/image-redundant-alt?application=axeAPI","<img alt=""Keyboards"" src=""https://images-na.ssl-images-amazon.com/images/G/01/AmazonExports/Fuji/2021/June/Fuji_Quad_Keyboard_1x._SY116_CB667159063_.jpg"" class=""_fluid-quad-image-label-v2_style_fluidLandscapeImage__2euAK _fluid-quad-image-label-v2_style_fluidImage__gTBjA"" data-a-hires=""https://images-na.ssl-images-amazon.com/images/G/01/AmazonExports/Fuji/2021/June/Fuji_Quad_Keyboard_2x._SY232_CB667159063_.jpg"">","img[alt=""Keyboards""]"
"image-redundant-alt","minor","Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.9/image-redundant-alt?application=axeAPI","<img alt=""Computer mice"" src=""https://images-na.ssl-images-amazon.com/images/G/01/AmazonExports/Fuji/2021/June/Fuji_Quad_Mouse_1x._SY116_CB667159063_.jpg"" class=""_fluid-quad-image-label-v2_style_fluidLandscapeImage__2euAK _fluid-quad-image-label-v2_style_fluidImage__gTBjA"" data-a-hires=""https://images-na.ssl-images-amazon.com/images/G/01/AmazonExports/Fuji/2021/June/Fuji_Quad_Mouse_2x._SY232_CB667159063_.jpg"">","img[alt=""Computer mice""]"
"image-redundant-alt","minor","Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.9/image-redundant-alt?application=axeAPI","<img alt=""Chairs"" src=""https://images-na.ssl-images-amazon.com/images/G/01/AmazonExports/Fuji/2021/June/Fuji_Quad_Chair_1x._SY116_CB667159060_.jpg"" class=""_fluid-quad-image-label-v2_style_fluidLandscapeImage__2euAK _fluid-quad-image-label-v2_style_fluidImage__gTBjA"" data-a-hires=""https://images-na.ssl-images-amazon.com/images/G/01/AmazonExports/Fuji/2021/June/Fuji_Quad_Chair_2x._SY232_CB667159060_.jpg"">","img[alt=""Chairs""]"
"image-redundant-alt","minor","Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.9/image-redundant-alt?application=axeAPI","<img alt=""Dining"" src=""https://images-na.ssl-images-amazon.com/images/G/01/launchpad/2023/Gateway/January/DesktopQuadCat_186x116_LP-HP_B08MYX5Q2W_01.23._SY116_CB619238939_.jpg"" class=""_fluid-quad-image-label-v2_style_fluidLandscapeImage__2euAK _fluid-quad-image-label-v2_style_fluidImage__gTBjA"" data-a-hires=""https://images-na.ssl-images-amazon.com/images/G/01/launchpad/2023/Gateway/January/DesktopQuadCat_372x232_LP-HP_B08MYX5Q2W_01.23._SY232_CB619238939_.jpg"">","img[alt=""Dining""]"
"image-redundant-alt","minor","Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.9/image-redundant-alt?application=axeAPI","<img alt=""Home"" src=""https://images-na.ssl-images-amazon.com/images/G/01/launchpad/2023/Gateway/January/DesktopQuadCat_186x116_home_B08RCCP3HV_01.23._SY116_CB619238939_.jpg"" class=""_fluid-quad-image-label-v2_style_fluidLandscapeImage__2euAK _fluid-quad-image-label-v2_style_fluidImage__gTBjA"" data-a-hires=""https://images-na.ssl-images-amazon.com/images/G/01/launchpad/2023/Gateway/January/DesktopQuadCat_372x232_home_B08RCCP3HV_01.23._SY232_CB619238939_.jpg"">","img[alt=""Home""]"
"image-redundant-alt","minor","Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.9/image-redundant-alt?application=axeAPI","<img alt=""Kitchen"" src=""https://images-na.ssl-images-amazon.com/images/G/01/launchpad/2023/Gateway/January/DesktopQuadCat_186x116_kitchen_B0126LMDFK_01.23._SY116_CB619238939_.jpg"" class=""_fluid-quad-image-label-v2_style_fluidLandscapeImage__2euAK _fluid-quad-image-label-v2_style_fluidImage__gTBjA"" data-a-hires=""https://images-na.ssl-images-amazon.com/images/G/01/launchpad/2023/Gateway/January/DesktopQuadCat_372x232_kitchen_B0126LMDFK_01.23._SY232_CB619238939_.jpg"">","img[alt=""Kitchen""]"
"image-redundant-alt","minor","Ensure image alternative is not repeated as text","Alternative text of images should not be repeated as text","https://dequeuniversity.com/rules/axe/4.9/image-redundant-alt?application=axeAPI","<img alt=""Health and Beauty"" src=""https://images-na.ssl-images-amazon.com/images/G/01/launchpad/2023/Gateway/January/DesktopQuadCat_186x116_health-beauty_B07662GN57_01.23._SY116_CB619238939_.jpg"" class=""_fluid-quad-image-label-v2_style_fluidLandscapeImage__2euAK _fluid-quad-image-label-v2_style_fluidImage__gTBjA"" data-a-hires=""https://images-na.ssl-images-amazon.com/images/G/01/launchpad/2023/Gateway/January/DesktopQuadCat_372x232_health-beauty_B07662GN57_01.23._SY232_CB619238939_.jpg"">","img[alt=""Health and Beauty""]"
