"id","impact","description","help","helpUrl","html","target"
"color-contrast","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.9/color-contrast?application=axeAPI","<strong style="""">Sitemap</strong>","a[href$=""sitemap""] > span > strong"
"color-contrast","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.9/color-contrast?application=axeAPI","<span style=""color: rgb(255, 255, 255);"">© 2019 All Rights Reserved.</span>","#\31 240481740 > span"
"color-contrast","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.9/color-contrast?application=axeAPI","<div class=""u_1313928911 dmNewParagraph"" data-element-type=""paragraph"" id=""1313928911"" style=""transition: opacity 1s ease-in-out 0s;"" data-binding=""W3siYmluZGluZ05hbWUiOiJ0ZXh0IiwidmFsdWUiOiJzaXRlX3RleHQuY29tcGFueSBuYW1lIn1d"" data-diy-text="""">Dynamic Capital Properties LLC</div>","#\31 313928911"
"landmark-one-main","moderate","Ensures the document has a main landmark","Document should have one main landmark","https://dequeuniversity.com/rules/axe/4.9/landmark-one-main?application=axeAPI","<html xmlns=""http://www.w3.org/1999/xhtml"" lang=""en"" class=""pointer skrollr skrollr-desktop"">","html"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""u_1000971427 dmRespRow dmDefaultListContentRow"" style=""text-align:center"" id=""1000971427"">","#\31 000971427"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""u_1874542927 dmRespCol small-12 large-2 medium-2"" id=""1874542927"" tabindex=""-1"">","#\31 874542927"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""u_1398040050 dmRespRow dmDefaultListContentRow"" style=""text-align:center"" id=""1398040050"">","#\31 398040050"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<h2 class=""dmNewParagraph u_1565450585"" data-element-type=""paragraph"" id=""1565450585"" style=""transition: opacity 1s ease-in-out 0s;"">Carbon County</h2>","#\31 565450585"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""dmNewParagraph u_1608477334"" data-element-type=""paragraph"" id=""1608477334"" style=""transition: opacity 1s ease-in-out 0s;"">","#\31 608477334"
"region","moderate","Ensures all page content is contained by landmarks","All page content should be contained by landmarks","https://dequeuniversity.com/rules/axe/4.9/region?application=axeAPI","<div class=""dmNewParagraph u_1372446939"" data-element-type=""paragraph"" id=""1372446939"" style=""transition: opacity 1s ease-in-out 0s;"">","#\31 372446939"
